name,ttm,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,74402000000.00 ,18745000000.00 ,17729000000.00 ,20368000000.00 ,17561000000.00 ,18123000000.00 ,17570000000.00 ,21777000000.00 ,18027000000.00 ,19161000000.00 ,18181000000.00 ,21760000000.00 ,18755000000.00 ,20003000000.00 ,19071000000.00 ,22543000000.00 ,19153000000.00 ,19289000000.00 ,18155000000.00 ,21771000000.00 ,19227000000.00 ,20239000000.00 ,18684000000.00 ,22060000000.00 ,19280000000.00 ,20813000000.00 ,19590000000.00 ,24113000000.00 ,22397000000.00 ,24363000000.00 ,22483000000.00 ,27699000000.00 ,23721000000.00 ,24924000000.00 ,23408000000.00 ,29304000000.00 ,24747000000.00 ,25783000000.00 ,24673000000.00 ,29486000000.00 ,26157000000.00 ,26666000000.00 ,24607000000.00 ,29018000000.00 ,24271000000.00 ,23724000000.00 ,22856000000.00 ,27230000000.00 ,23566000000.00 ,23250000000.00 ,21711000000.00 ,27007000000.00 ,25302000000.00 ,26178000000.00 ,23862000000.00 ,30718000000.00 ,23490000000.00 ,23170000000.00 ,21408000000.00 ,26258000000.00 ,22617000000.00 ,21890000000.00 ,20659000000.00 ,24427000000.00 ,21529000000.00 ,22270000000.00 ,22908000000.00 ,27461000000.00 ,23429000000.00 ,23153000000.00 ,22250000000.00 ,25913000000.00 ,21522000000.00 ,21631000000.00 ,20065000000.00 ,23684000000.00 ,19821000000.00 ,19651000000.00 ,18551000000.00 ,22826000000.00 ,20428000000.00 ,21568000000.00 ,21044000000.00 ,25616000000.00 ,21781000000.00 ,21651000000.00 ,19348000000.00 ,24182000000.00 ,21144000000.00 ,21905000000.00 ,20317000000.00 ,22539000000.00 ,20095000000.00 ,18823000000.00 ,17618000000.00 ,23723000000.00 ,18605000000.00 ,18872000000.00 ,17308000000.00 ,21519000000.00 ,18062000000.00 ,18183000000.00 ,16559000000.00 ,21920000000.00 ,16754000000.00 ,17531000000.00 ,15735000000.00 ,19896000000.00 ,15431000000.00 ,15351000000.00 ,13373000000.00 ,19396000000.00 ,14743000000.00 ,15519000000.00 ,13058000000.00 ,19560000000.00 ,14702000000.00 ,16224000000.00 ,14037000000.00 ,22082000000.00 ,14433000000.00 ,14732000000.00 ,13545000000.00 ,23061000000.00 ,15277000000.00 ,16495000000.00 ,14185000000.00 ,20462000000.00 ,14305000000.00 ,15213000000.00 ,12730000000.00 ,20937000000.00 ,13960000000.00 ,13599000000.00 ,11749000000.00 ,18011000000.00 ,12727000000.00 ,8510000000.00 ,6500000000.00 ,16945000000.00 ,11910000000.00 ,12268000000.00 ,10127000000.00 ,17155000000.00 ,11698000000.00 
"	OperatingRevenue",74402000000.00 ,18745000000.00 ,17729000000.00 ,20368000000.00 ,17561000000.00 ,18123000000.00 ,17570000000.00 ,21777000000.00 ,18027000000.00 ,19161000000.00 ,18181000000.00 ,21760000000.00 ,18755000000.00 ,20003000000.00 ,19071000000.00 ,22543000000.00 ,19153000000.00 ,19289000000.00 ,18155000000.00 ,21771000000.00 ,19227000000.00 ,20239000000.00 ,18684000000.00 ,22060000000.00 ,19280000000.00 ,20813000000.00 ,19590000000.00 ,24113000000.00 ,22397000000.00 ,24363000000.00 ,22483000000.00 ,27699000000.00 ,23721000000.00 ,24924000000.00 ,23408000000.00 ,29304000000.00 ,24747000000.00 ,25783000000.00 ,24673000000.00 ,29486000000.00 ,26157000000.00 ,26666000000.00 ,24607000000.00 ,29019000000.00 ,24271000000.00 ,23723000000.00 ,22858000000.00 ,27230000000.00 ,23566000000.00 ,23251000000.00 ,21711000000.00 ,27007000000.00 ,25302000000.00 ,26179000000.00 ,23862000000.00 ,30718000000.00 ,23490000000.00 ,23169000000.00 ,21408000000.00 ,26257000000.00 ,22617000000.00 ,21889000000.00 ,20659000000.00 ,24427000000.00 ,21529000000.00 ,22270000000.00 ,22908000000.00 ,27461000000.00 ,23429000000.00 ,23153000000.00 ,22250000000.00 ,25913000000.00 ,21522000000.00 ,21631000000.00 ,20065000000.00 ,23684000000.00 ,19821000000.00 ,19651000000.00 ,18551000000.00 ,22826000000.00 ,20428000000.00 ,21568000000.00 ,21044000000.00 ,25616000000.00 ,21781000000.00 ,21651000000.00 ,19348000000.00 ,24182000000.00 ,21144000000.00 ,21905000000.00 ,20317000000.00 ,22539000000.00 ,20095000000.00 ,18823000000.00 ,17618000000.00 ,23723000000.00 ,18605000000.00 ,18872000000.00 ,17308000000.00 ,21519000000.00 ,18062000000.00 ,18183000000.00 ,16559000000.00 ,21920000000.00 ,16754000000.00 ,17531000000.00 ,15735000000.00 ,19896000000.00 ,15431000000.00 ,15351000000.00 ,13373000000.00 ,19396000000.00 ,14743000000.00 ,15519000000.00 ,13058000000.00 ,19560000000.00 ,14702000000.00 ,16224000000.00 ,14037000000.00 ,22082000000.00 ,14433000000.00 ,14732000000.00 ,13545000000.00 ,23061000000.00 ,15277000000.00 ,16495000000.00 ,14185000000.00 ,20462000000.00 ,14305000000.00 ,15213000000.00 ,12730000000.00 ,20937000000.00 ,13960000000.00 ,13599000000.00 ,11749000000.00 ,18011000000.00 ,12727000000.00 ,8510000000.00 ,6500000000.00 ,16945000000.00 ,11910000000.00 ,12268000000.00 ,10127000000.00 ,17155000000.00 ,11698000000.00 
CostOfRevenue,38241000000.00 ,9741000000.00 ,9525000000.00 ,9844000000.00 ,9130000000.00 ,9423000000.00 ,9649000000.00 ,10677000000.00 ,9692000000.00 ,10151000000.00 ,10139000000.00 ,11073000000.00 ,9953000000.00 ,10804000000.00 ,10825000000.00 ,11681000000.00 ,10353000000.00 ,10495000000.00 ,10383000000.00 ,10877000000.00 ,10213000000.00 ,10536000000.00 ,9999000000.00 ,10652000000.00 ,9844000000.00 ,10423000000.00 ,10138000000.00 ,11251000000.00 ,11523000000.00 ,12389000000.00 ,11941000000.00 ,13383000000.00 ,12341000000.00 ,12792000000.00 ,12730000000.00 ,14137000000.00 ,13016000000.00 ,13502000000.00 ,13555000000.00 ,14764000000.00 ,13984000000.00 ,14282000000.00 ,13749000000.00 ,14792000000.00 ,13270000000.00 ,12915000000.00 ,12880000000.00 ,14085000000.00 ,12938000000.00 ,12669000000.00 ,12280000000.00 ,14071000000.00 ,14342000000.00 ,15221000000.00 ,14336000000.00 ,15897000000.00 ,14163000000.00 ,13834000000.00 ,13163000000.00 ,14556000000.00 ,13126000000.00 ,12876000000.00 ,12571000000.00 ,13662000000.00 ,12791000000.00 ,13495000000.00 ,14654000000.00 ,16609000000.00 ,14783000000.00 ,14628000000.00 ,14241000000.00 ,15938000000.00 ,13710000000.00 ,13633000000.00 ,12832000000.00 ,14493000000.00 ,12498000000.00 ,12381000000.00 ,12115000000.00 ,14081000000.00 ,13037000000.00 ,13530000000.00 ,13436000000.00 ,15947000000.00 ,13980000000.00 ,13708000000.00 ,12337000000.00 ,15299000000.00 ,13580000000.00 ,13681000000.00 ,13059000000.00 ,15322000000.00 ,12628000000.00 ,11677000000.00 ,11168000000.00 ,14205000000.00 ,11507000000.00 ,11471000000.00 ,10716000000.00 ,12198000000.00 ,10804000000.00 ,10992000000.00 ,9790000000.00 ,12769000000.00 ,9833000000.00 ,9900000000.00 ,9071000000.00 ,11810000000.00 ,9277000000.00 ,9247000000.00 ,8433000000.00 ,10950000000.00 ,7928000000.00 ,8472000000.00 ,6508000000.00 ,10452000000.00 ,5560000000.00 ,7060000000.00 ,5739000000.00 ,10078000000.00 ,6152000000.00 ,6014000000.00 ,5079000000.00 ,9227000000.00 ,5510000000.00 ,6580000000.00 ,5189000000.00 ,,,,,,,,,,,,,,,,,,
GrossProfit,36161000000.00 ,9004000000.00 ,8204000000.00 ,10523000000.00 ,8430000000.00 ,8700000000.00 ,7922000000.00 ,11100000000.00 ,8336000000.00 ,9010000000.00 ,8043000000.00 ,10687000000.00 ,8803000000.00 ,9199000000.00 ,8247000000.00 ,10862000000.00 ,8800000000.00 ,8794000000.00 ,7772000000.00 ,10893000000.00 ,9013000000.00 ,9702000000.00 ,8686000000.00 ,11406000000.00 ,9436000000.00 ,10390000000.00 ,9452000000.00 ,12862000000.00 ,10874000000.00 ,11975000000.00 ,10543000000.00 ,14316000000.00 ,11380000000.00 ,12132000000.00 ,10678000000.00 ,15167000000.00 ,11731000000.00 ,12281000000.00 ,11118000000.00 ,14722000000.00 ,12173000000.00 ,12384000000.00 ,10858000000.00 ,14227000000.00 ,11001000000.00 ,10809000000.00 ,9976000000.00 ,13145000000.00 ,10627000000.00 ,10581000000.00 ,9431000000.00 ,12936000000.00 ,10960000000.00 ,10957000000.00 ,9526000000.00 ,14821000000.00 ,9327000000.00 ,9336000000.00 ,8245000000.00 ,11701000000.00 ,9492000000.00 ,9014000000.00 ,8088000000.00 ,10765000000.00 ,8738000000.00 ,8775000000.00 ,8254000000.00 ,10852000000.00 ,8646000000.00 ,8525000000.00 ,8009000000.00 ,9975000000.00 ,7812000000.00 ,7998000000.00 ,7233000000.00 ,9191000000.00 ,7323000000.00 ,7270000000.00 ,6436000000.00 ,8745000000.00 ,7391000000.00 ,8038000000.00 ,7608000000.00 ,9669000000.00 ,7801000000.00 ,7943000000.00 ,7011000000.00 ,8883000000.00 ,7564000000.00 ,8224000000.00 ,7258000000.00 ,7217000000.00 ,7467000000.00 ,7146000000.00 ,6450000000.00 ,9518000000.00 ,7098000000.00 ,7401000000.00 ,6592000000.00 ,9321000000.00 ,7258000000.00 ,7191000000.00 ,6769000000.00 ,9151000000.00 ,6921000000.00 ,7631000000.00 ,6664000000.00 ,8086000000.00 ,6154000000.00 ,6104000000.00 ,4940000000.00 ,8446000000.00 ,6815000000.00 ,7047000000.00 ,6550000000.00 ,9108000000.00 ,9142000000.00 ,9164000000.00 ,8298000000.00 ,12004000000.00 ,8281000000.00 ,8718000000.00 ,8466000000.00 ,13834000000.00 ,9767000000.00 ,9915000000.00 ,8996000000.00 ,,,,,,,,,,,,,,,,,,
OperatingExpense,28102000000.00 ,6857000000.00 ,6658000000.00 ,8563000000.00 ,6027000000.00 ,6627000000.00 ,7463000000.00 ,6834000000.00 ,6398000000.00 ,6624000000.00 ,6002000000.00 ,5863000000.00 ,5336000000.00 ,5931000000.00 ,6520000000.00 ,6210000000.00 ,5674000000.00 ,6261000000.00 ,6224000000.00 ,5889000000.00 ,5633000000.00 ,6423000000.00 ,7156000000.00 ,6279000000.00 ,5805000000.00 ,6278000000.00 ,6404000000.00 ,7045000000.00 ,6389000000.00 ,6802000000.00 ,7528000000.00 ,7274000000.00 ,6502000000.00 ,7957000000.00 ,7016000000.00 ,6377000000.00 ,7443000000.00 ,7425000000.00 ,7479000000.00 ,7631000000.00 ,7207000000.00 ,7600000000.00 ,7409000000.00 ,7539000000.00 ,6632000000.00 ,6515000000.00 ,7186000000.00 ,7118000000.00 ,6483000000.00 ,6548000000.00 ,6744000000.00 ,7361000000.00 ,7223000000.00 ,7949000000.00 ,7189000000.00 ,7601000000.00 ,6848000000.00 ,7165000000.00 ,6598000000.00 ,7207000000.00 ,6664000000.00 ,6438000000.00 ,6058000000.00 ,6711000000.00 ,6079000000.00 ,7974000000.00 ,6392000000.00 ,6751000000.00 ,6397000000.00 ,6058000000.00 ,5851000000.00 ,6223000000.00 ,5610000000.00 ,5686000000.00 ,5410000000.00 ,6644000000.00 ,5200000000.00 ,6486000000.00 ,5253000000.00 ,7430000000.00 ,5002000000.00 ,5044000000.00 ,5011000000.00 ,5789000000.00 ,4987000000.00 ,5136000000.00 ,4878000000.00 ,5861000000.00 ,4884000000.00 ,4139000000.00 ,5118000000.00 ,6481000000.00 ,5297000000.00 ,5032000000.00 ,4898000000.00 ,6485000000.00 ,5094000000.00 ,5179000000.00 ,4753000000.00 ,6860000000.00 ,5290000000.00 ,5005000000.00 ,4788000000.00 ,8480000000.00 ,4893000000.00 ,4857000000.00 ,4546000000.00 ,6065000000.00 ,4938000000.00 ,5026000000.00 ,4249000000.00 ,7950000000.00 ,6844000000.00 ,15881000000.00 ,6820000000.00 ,4218000000.00 ,13183000000.00 ,7775000000.00 ,7130000000.00 ,13015000000.00 ,7692000000.00 ,8363000000.00 ,7457000000.00 ,9578000000.00 ,7714000000.00 ,7328000000.00 ,6860000000.00 ,,,,,,,,,,,,,,,,,,
"	SellingGeneralAndAdministration",21365000000.00 ,5097000000.00 ,4927000000.00 ,6970000000.00 ,4372000000.00 ,4894000000.00 ,5614000000.00 ,5103000000.00 ,4735000000.00 ,5344000000.00 ,4573000000.00 ,4583000000.00 ,4249000000.00 ,4708000000.00 ,5322000000.00 ,5017000000.00 ,4515000000.00 ,5015000000.00 ,5006000000.00 ,4847000000.00 ,4628000000.00 ,5187000000.00 ,5816000000.00 ,5030000000.00 ,4633000000.00 ,5034000000.00 ,5200000000.00 ,5831000000.00 ,5084000000.00 ,5442000000.00 ,6142000000.00 ,5817000000.00 ,5125000000.00 ,6568000000.00 ,5465000000.00 ,5813000000.00 ,5810000000.00 ,5753000000.00 ,5800000000.00 ,5915000000.00 ,5586000000.00 ,5951000000.00 ,5762000000.00 ,5845000000.00 ,5106000000.00 ,4984000000.00 ,5611000000.00 ,5444000000.00 ,4965000000.00 ,5017000000.00 ,5094000000.00 ,5833000000.00 ,5644000000.00 ,6289000000.00 ,5620000000.00 ,6016000000.00 ,5324000000.00 ,5631000000.00 ,5089000000.00 ,5620000000.00 ,5121000000.00 ,4916000000.00 ,4602000000.00 ,5252000000.00 ,4632000000.00 ,6497000000.00 ,4933000000.00 ,5290000000.00 ,4978000000.00 ,4632000000.00 ,4484000000.00 ,4874000000.00 ,4303000000.00 ,4460000000.00 ,4215000000.00 ,5440000000.00 ,3987000000.00 ,5288000000.00 ,4053000000.00 ,5883000000.00 ,3741000000.00 ,3765000000.00 ,3808000000.00 ,4340000000.00 ,3726000000.00 ,3867000000.00 ,3706000000.00 ,4445000000.00 ,3501000000.00 ,2846000000.00 ,3937000000.00 ,5074000000.00 ,4057000000.00 ,3812000000.00 ,3719000000.00 ,5060000000.00 ,3932000000.00 ,3958000000.00 ,3684000000.00 ,5093000000.00 ,4175000000.00 ,3889000000.00 ,3697000000.00 ,5392000000.00 ,3858000000.00 ,3883000000.00 ,3633000000.00 ,4947000000.00 ,3885000000.00 ,3935000000.00 ,4249000000.00 ,6914000000.00 ,5631000000.00 ,14808000000.00 ,5432000000.00 ,3438000000.00 ,10170000000.00 ,6474000000.00 ,5965000000.00 ,11410000000.00 ,6572000000.00 ,7196000000.00 ,6199000000.00 ,8475000000.00 ,6547000000.00 ,6520000000.00 ,5721000000.00 ,,,,,,,,,,,,,,,,,,
"		GeneralAndAdministrativeExpense",19864000000.00 ,4698000000.00 ,4575000000.00 ,6580000000.00 ,4011000000.00 ,4531000000.00 ,5186000000.00 ,4690000000.00 ,4354000000.00 ,4923000000.00 ,4141000000.00 ,4248000000.00 ,3926000000.00 ,4301000000.00 ,4921000000.00 ,4662000000.00 ,4178000000.00 ,4625000000.00 ,4643000000.00 ,4571000000.00 ,4287000000.00 ,4826000000.00 ,5468000000.00 ,4708000000.00 ,4318000000.00 ,4693000000.00 ,4887000000.00 ,5515000000.00 ,4778000000.00 ,5095000000.00 ,5804000000.00 ,5494000000.00 ,4825000000.00 ,6220000000.00 ,5142000000.00 ,5463000000.00 ,5480000000.00 ,5409000000.00 ,5484000000.00 ,5570000000.00 ,5247000000.00 ,5585000000.00 ,5439000000.00 ,5474000000.00 ,4769000000.00 ,4655000000.00 ,5311000000.00 ,5103000000.00 ,4642000000.00 ,4717000000.00 ,4807000000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"			SalariesAndWages",2887000000.00 ,247000000.00 ,269000000.00 ,2224000000.00 ,147000000.00 ,292000000.00 ,845000000.00 ,157000000.00 ,171000000.00 ,588000000.00 ,93000000.00 ,105000000.00 ,121000000.00 ,111000000.00 ,621000000.00 ,387000000.00 ,280000000.00 ,357000000.00 ,516000000.00 ,297000000.00 ,304000000.00 ,304000000.00 ,1276000000.00 ,299000000.00 ,396000000.00 ,463000000.00 ,810000000.00 ,862000000.00 ,306000000.00 ,282000000.00 ,1192000000.00 ,372000000.00 ,369000000.00 ,1370000000.00 ,383000000.00 ,1116000000.00 ,484000000.00 ,310000000.00 ,336000000.00 ,279000000.00 ,264000000.00 ,277000000.00 ,519000000.00 ,279000000.00 ,263000000.00 ,246000000.00 ,836000000.00 ,287000000.00 ,226000000.00 ,239000000.00 ,461000000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"			OtherGandA",16977000000.00 ,4451000000.00 ,4306000000.00 ,4356000000.00 ,3864000000.00 ,4239000000.00 ,4341000000.00 ,4533000000.00 ,4183000000.00 ,4335000000.00 ,4048000000.00 ,4143000000.00 ,3805000000.00 ,4190000000.00 ,4300000000.00 ,4275000000.00 ,3898000000.00 ,4268000000.00 ,4127000000.00 ,4274000000.00 ,3983000000.00 ,4522000000.00 ,4192000000.00 ,4409000000.00 ,3922000000.00 ,4230000000.00 ,4077000000.00 ,4653000000.00 ,4472000000.00 ,4813000000.00 ,4612000000.00 ,5122000000.00 ,4456000000.00 ,4850000000.00 ,4759000000.00 ,4347000000.00 ,4996000000.00 ,5099000000.00 ,5148000000.00 ,5291000000.00 ,4983000000.00 ,5308000000.00 ,4920000000.00 ,5195000000.00 ,4506000000.00 ,4409000000.00 ,4475000000.00 ,4816000000.00 ,4416000000.00 ,4478000000.00 ,4346000000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		SellingAndMarketingExpense",1501000000.00 ,399000000.00 ,352000000.00 ,390000000.00 ,361000000.00 ,363000000.00 ,428000000.00 ,413000000.00 ,381000000.00 ,421000000.00 ,432000000.00 ,335000000.00 ,323000000.00 ,407000000.00 ,401000000.00 ,355000000.00 ,337000000.00 ,390000000.00 ,363000000.00 ,276000000.00 ,341000000.00 ,361000000.00 ,348000000.00 ,322000000.00 ,315000000.00 ,341000000.00 ,313000000.00 ,316000000.00 ,306000000.00 ,347000000.00 ,338000000.00 ,323000000.00 ,300000000.00 ,348000000.00 ,323000000.00 ,350000000.00 ,330000000.00 ,344000000.00 ,316000000.00 ,345000000.00 ,339000000.00 ,366000000.00 ,323000000.00 ,371000000.00 ,337000000.00 ,329000000.00 ,300000000.00 ,341000000.00 ,323000000.00 ,300000000.00 ,287000000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
